state,division,ballotPosition,surname,ballotGivenName,gender,fullName,fullName,partyBallotName,house,incumbent
ACT,Bean,1,CONWAY,Sean,M,Sean Conway,Sean Conway,United Australia Party,House,0
ACT,Bean,2,AMBARD,Benjamin,M,Benjamin Ambard,Benjamin Ambard,Pauline Hanson's One Nation,House,0
ACT,Bean,3,SMITH,David,M,David Smith,David Smith,Australian Labor Party,House,1
ACT,Bean,4,CHRISTIE,Jamie,M,Jamie Christie,Jamie Christie,Independent,House,0
ACT,Bean,5,SAVERY,Kathryn Jane,F,Kathryn Jane Savery,Kathryn Jane Savery,The Greens,House,0
ACT,Bean,6,HIATT,Jane,F,Jane Hiatt,Jane Hiatt,Liberal,House,0
ACT,Canberra,1,SMITH,Catherine,F,Catherine Smith,Catherine Smith,United Australia Party,House,0
ACT,Canberra,2,MILES,James,M,James Miles,James Miles,Pauline Hanson's One Nation,House,0
ACT,Canberra,3,BOHM,Tim,M,Tim Bohm,Tim Bohm,Independent,House,0
ACT,Canberra,4,MINSON,Slade,M,Slade Minson,Slade Minson,Liberal,House,0
ACT,Canberra,5,HOLLO,Tim,M,Tim Hollo,Tim Hollo,The Greens,House,0
ACT,Canberra,6,PAYNE,Alicia,F,Alicia Payne,Alicia Payne,Australian Labor Party,House,1
ACT,Fenner,1,LEIGH,Andrew,M,Andrew Leigh,Andrew Leigh,Australian Labor Party,House,1
ACT,Fenner,2,KUSTER,Nathan,M,Nathan Kuster,Nathan Kuster,Liberal,House,0
ACT,Fenner,3,ELTON,Timothy Peter,M,Timothy Peter Elton,Timothy Peter Elton,United Australia Party,House,0
ACT,Fenner,4,GRANT,Lucia,F,Lucia Grant,Lucia Grant,Pauline Hanson's One Nation,House,0
ACT,Fenner,5,SOJIC,Natasa,F,Natasa Sojic,Natasa Sojic,The Greens,House,0
ACT,Fenner,6,JAKEMAN,Guy,M,Guy Jakeman,Guy Jakeman,Liberal Democrats,House,0
NSW,Banks,1,COLEMAN,David,M,David Coleman,David Coleman,Liberal,House,1
NSW,Banks,2,COCKER,Elouise Ivy,F,Elouise Ivy Cocker,Elouise Ivy Cocker,Liberal Democrats,House,0
NSW,Banks,3,MOMIRCEVSKI,Marika,F,Marika Momircevski,Marika Momircevski,United Australia Party,House,0
NSW,Banks,4,HANNA,Natalie,F,Natalie Hanna,Natalie Hanna,The Greens,House,0
NSW,Banks,5,KHOUW,Steve,M,Steve Khouw,Steve Khouw,,House,0
NSW,Banks,6,HEFFERNAN,Malcolm Phillip,M,Malcolm Phillip Heffernan,Malcolm Phillip Heffernan,Pauline Hanson's One Nation,House,0
NSW,Banks,7,SOON,Zhi,M,Zhi Soon,Zhi Soon,Labor,House,0
NSW,Barton,1,BURNEY,Linda,F,Linda Burney,Linda Burney,Labor,House,1
NSW,Barton,2,HONOS,Dimitri,M,Dimitri Honos,Dimitri Honos,United Australia Party,House,0
